screen_id,captured_at_utc,screenshot,ui_xml,activity_dump,recording,navigation_path,required_starting_state,classification,notes
017_bonding_mode_controls,2026-08-15T00:27:43.1948653Z,evidence/screenshots/017_bonding_mode_controls.png,evidence/ui-xml/017_bonding_mode_controls.xml,evidence/activity/017_bonding_mode_controls_activity-top.txt,,016 bonding settings > swipe upward,Bonding settings at top,CONFIRMED,
018_bonding_link_weights,2026-08-15T00:28:05.3092480Z,evidence/screenshots/018_bonding_link_weights.png,evidence/ui-xml/018_bonding_link_weights.xml,evidence/activity/018_bonding_link_weights_activity-top.txt,,017 bonding settings > swipe upward,Bonding mode and cellular control visible,CONFIRMED,
019_bonding_link_weights_lower,2026-08-15T00:28:22.6248061Z,evidence/screenshots/019_bonding_link_weights_lower.png,evidence/ui-xml/019_bonding_link_weights_lower.xml,evidence/activity/019_bonding_link_weights_lower_activity-top.txt,,018 bonding settings > swipe upward,Bonding Wi-Fi and Ethernet weights visible,CONFIRMED,
020_bonding_wifi_weight_adjusted,2026-08-15T00:28:55.7637043Z,evidence/screenshots/020_bonding_wifi_weight_adjusted.png,evidence/ui-xml/020_bonding_wifi_weight_adjusted.xml,evidence/activity/020_bonding_wifi_weight_adjusted_activity-top.txt,,Bonding settings > adjust Wi-Fi weight slider to midpoint,Wi-Fi weight observed at 100; reversible slider test,CONFIRMED,"Wi-Fi weight temporarily set to 50, then restored to 100"
021_connections_list_empty,2026-08-15T00:29:20.3577052Z,evidence/screenshots/021_connections_list_empty.png,evidence/ui-xml/021_connections_list_empty.xml,evidence/activity/021_connections_list_empty_activity-top.txt,,Settings root > Connections,Settings root at top; no destination modified,CONFIRMED,
022_new_connection_protocol_menu,2026-08-15T00:29:35.5809860Z,evidence/screenshots/022_new_connection_protocol_menu.png,evidence/ui-xml/022_new_connection_protocol_menu.xml,evidence/activity/022_new_connection_protocol_menu_activity-top.txt,,Connections > New connection,Outgoing connections page; no connection created,CONFIRMED,Default empty form; protocol-specific fields appear after a recognized URL is entered
023_new_connection_form_bottom,2026-08-15T00:30:03.4083950Z,evidence/screenshots/023_new_connection_form_bottom.png,evidence/ui-xml/023_new_connection_form_bottom.xml,evidence/activity/023_new_connection_form_bottom_activity-top.txt,,022 new outgoing connection > swipe upward,Blank connection form; no data submitted,CONFIRMED,"Default form, lower actions"
024_new_connection_invalid_url,2026-08-15T00:30:22.9650383Z,evidence/screenshots/024_new_connection_invalid_url.png,evidence/ui-xml/024_new_connection_invalid_url.xml,evidence/activity/024_new_connection_invalid_url_activity-top.txt,,New outgoing connection > enter test name and malformed URL > hide keyboard,Blank form; safe non-secret test values; form not submitted,CONFIRMED,Incomplete form; URL empty and Save disabled; no record saved
025_new_connection_rtmp_fields,2026-08-15T00:32:40.1094858Z,evidence/screenshots/025_new_connection_rtmp_fields.png,evidence/ui-xml/025_new_connection_rtmp_fields.xml,evidence/activity/025_new_connection_rtmp_fields_activity-top.txt,,New outgoing connection > enter reserved-host RTMP URL > hide keyboard,Safe non-secret test values; form not submitted,CONFIRMED,
026_new_connection_rtmp_advanced,2026-08-15T00:32:57.2443294Z,evidence/screenshots/026_new_connection_rtmp_advanced.png,evidence/ui-xml/026_new_connection_rtmp_advanced.xml,evidence/activity/026_new_connection_rtmp_advanced_activity-top.txt,,025 RTMP connection form > swipe upward,Safe reserved-host RTMP form; not submitted,CONFIRMED,
027_rtmp_target_type_menu,2026-08-15T00:33:48.6873532Z,evidence/screenshots/027_rtmp_target_type_menu.png,evidence/ui-xml/027_rtmp_target_type_menu.xml,evidence/activity/027_rtmp_target_type_menu_activity-top.txt,,RTMP connection form > Target type dropdown,Safe RTMP form; dropdown open; no target type changed; form not submitted,CONFIRMED,
028_rtmp_authorization_fields,2026-08-15T00:34:09.1086150Z,evidence/screenshots/028_rtmp_authorization_fields.png,evidence/ui-xml/028_rtmp_authorization_fields.xml,evidence/activity/028_rtmp_authorization_fields_activity-top.txt,,RTMP connection form > Target type > RTMP authorization > swipe to fields,Safe unsaved RTMP form; blank authorization fields,CONFIRMED,
029_manage_connections_empty,2026-08-15T00:34:38.7779133Z,evidence/screenshots/029_manage_connections_empty.png,evidence/ui-xml/029_manage_connections_empty.xml,evidence/activity/029_manage_connections_empty_activity-top.txt,,Connections > Manage connections,No outgoing connection saved during audit,CONFIRMED,
030_twitch_quick_setup_form,2026-08-15T00:34:59.4545913Z,evidence/screenshots/030_twitch_quick_setup_form.png,evidence/ui-xml/030_twitch_quick_setup_form.xml,evidence/activity/030_twitch_quick_setup_form_activity-top.txt,,Manage connections > New connection > TWITCH.TV,No connection saved; quick-setup form opened only,CONFIRMED,
031_kick_quick_setup_form,2026-08-15T00:36:11.7530387Z,evidence/screenshots/031_kick_quick_setup_form.png,evidence/ui-xml/031_kick_quick_setup_form.xml,evidence/activity/031_kick_quick_setup_form_activity-top.txt,,New outgoing connection > KICK.COM,No connection saved; quick-setup form open; blank fields,CONFIRMED,
032_video_settings,2026-08-15T00:36:42.9200377Z,evidence/screenshots/032_video_settings.png,evidence/ui-xml/032_video_settings.xml,evidence/activity/032_video_settings_activity-top.txt,,Settings root > Video,Settings root at top; no video preference changed,CONFIRMED,
033_video_resolution_fps,2026-08-15T00:37:12.3925101Z,evidence/screenshots/033_video_resolution_fps.png,evidence/ui-xml/033_video_resolution_fps.xml,evidence/activity/033_video_resolution_fps_activity-top.txt,,032 video parameters > swipe upward,Video settings at top; no preference changed,CONFIRMED,
034_video_orientation_controls,2026-08-15T00:37:30.4580277Z,evidence/screenshots/034_video_orientation_controls.png,evidence/ui-xml/034_video_orientation_controls.xml,evidence/activity/034_video_orientation_controls_activity-top.txt,,033 video parameters > swipe upward,Video FPS/orientation controls visible; no preference changed,CONFIRMED,
035_video_lens_defaults,2026-08-15T00:37:55.3598901Z,evidence/screenshots/035_video_lens_defaults.png,evidence/ui-xml/035_video_lens_defaults.xml,evidence/activity/035_video_lens_defaults_activity-top.txt,,034 video parameters > swipe upward,Video background streaming and lens defaults; no preference changed,CONFIRMED,
036_video_encoder_parameters,2026-08-15T00:38:15.2334565Z,evidence/screenshots/036_video_encoder_parameters.png,evidence/ui-xml/036_video_encoder_parameters.xml,evidence/activity/036_video_encoder_parameters_activity-top.txt,,035 video parameters > swipe upward,Lens defaults and encoder section visible; no preference changed,CONFIRMED,
037_video_codec_color,2026-08-15T00:38:33.8913954Z,evidence/screenshots/037_video_codec_color.png,evidence/ui-xml/037_video_codec_color.xml,evidence/activity/037_video_codec_color_activity-top.txt,,036 video parameters > swipe upward,Encoder settings visible; no preference changed,CONFIRMED,
038_video_vendor_enhancements,2026-08-15T00:38:49.9736024Z,evidence/screenshots/038_video_vendor_enhancements.png,evidence/ui-xml/038_video_vendor_enhancements.xml,evidence/activity/038_video_vendor_enhancements_activity-top.txt,,037 video parameters > swipe upward,Codec profiles and vendor enhancements; no preference changed,CONFIRMED,
039_video_adaptive_bitrate,2026-08-15T00:39:10.2650930Z,evidence/screenshots/039_video_adaptive_bitrate.png,evidence/ui-xml/039_video_adaptive_bitrate.xml,evidence/activity/039_video_adaptive_bitrate_activity-top.txt,,038 video parameters > swipe upward,Vendor enhancements and adaptive bitrate section; no preference changed,CONFIRMED,
040_video_adaptive_floor,2026-08-15T00:39:54.2960739Z,evidence/screenshots/040_video_adaptive_floor.png,evidence/ui-xml/040_video_adaptive_floor.xml,evidence/activity/040_video_adaptive_floor_activity-top.txt,,039 video parameters > attempted swipe at list end,Adaptive bitrate controls remain visible; no preference changed,CONFIRMED,
041_video_start_camera_menu,2026-08-15T00:40:39.2451599Z,evidence/screenshots/041_video_start_camera_menu.png,evidence/ui-xml/041_video_start_camera_menu.xml,evidence/activity/041_video_start_camera_menu_activity-top.txt,,Video parameters > Start app with,Observed value Rear camera (0); no selection changed,CONFIRMED,
042_video_resolution_menu,2026-08-15T00:40:58.9095947Z,evidence/screenshots/042_video_resolution_menu.png,evidence/ui-xml/042_video_resolution_menu.xml,evidence/activity/042_video_resolution_menu_activity-top.txt,,Video parameters > Resolution,Observed value 1920x1080 (16:9); no selection changed,CONFIRMED,
043_video_resolution_menu_lower,2026-08-15T00:41:20.6832689Z,evidence/screenshots/043_video_resolution_menu_lower.png,evidence/ui-xml/043_video_resolution_menu_lower.xml,evidence/activity/043_video_resolution_menu_lower_activity-top.txt,,Resolution dialog > swipe upward,Resolution picker open; no selection changed,CONFIRMED,
044_video_fps_menu,2026-08-15T00:41:58.2897047Z,evidence/screenshots/044_video_fps_menu.png,evidence/ui-xml/044_video_fps_menu.xml,evidence/activity/044_video_fps_menu_activity-top.txt,,Video parameters > FPS,Observed value System default; no selection changed,CONFIRMED,
045_video_fps_menu_middle,2026-08-15T00:42:29.7006250Z,evidence/screenshots/045_video_fps_menu_middle.png,evidence/ui-xml/045_video_fps_menu_middle.xml,evidence/activity/045_video_fps_menu_middle_activity-top.txt,,FPS dialog > swipe upward,FPS picker open; no selection changed,CONFIRMED,
046_video_fps_menu_lower,2026-08-15T00:42:51.0050190Z,evidence/screenshots/046_video_fps_menu_lower.png,evidence/ui-xml/046_video_fps_menu_lower.xml,evidence/activity/046_video_fps_menu_lower_activity-top.txt,,FPS dialog middle > swipe upward,FPS picker open; no selection changed,CONFIRMED,
047_video_focus_mode_menu,2026-08-15T00:43:25.9861589Z,evidence/screenshots/047_video_focus_mode_menu.png,evidence/ui-xml/047_video_focus_mode_menu.xml,evidence/activity/047_video_focus_mode_menu_activity-top.txt,,Video parameters > Focus mode,Observed value Continuous auto focus; no selection changed,CONFIRMED,
048_video_white_balance_menu,2026-08-15T00:43:44.8586942Z,evidence/screenshots/048_video_white_balance_menu.png,evidence/ui-xml/048_video_white_balance_menu.xml,evidence/activity/048_video_white_balance_menu_activity-top.txt,,Video parameters > White balance,Observed value Auto; no selection changed,CONFIRMED,
049_video_antiflicker_menu,2026-08-15T00:45:58.7721384Z,evidence/screenshots/049_video_antiflicker_menu.png,evidence/ui-xml/049_video_antiflicker_menu.xml,evidence/activity/049_video_antiflicker_menu_activity-top.txt,,Settings > Video > Anti-flicker,Video settings; Anti-flicker default Auto,CONFIRMED,
050_video_exposure_compensation_menu,2026-08-15T00:46:16.1146391Z,evidence/screenshots/050_video_exposure_compensation_menu.png,evidence/ui-xml/050_video_exposure_compensation_menu.xml,evidence/activity/050_video_exposure_compensation_menu_activity-top.txt,,Settings > Video > Exposure compensation,Video settings; Exposure compensation default 0,CONFIRMED,
051_video_exposure_compensation_menu_scrolled,2026-08-15T00:46:33.1462202Z,evidence/screenshots/051_video_exposure_compensation_menu_scrolled.png,evidence/ui-xml/051_video_exposure_compensation_menu_scrolled.xml,evidence/activity/051_video_exposure_compensation_menu_scrolled_activity-top.txt,,Settings > Video > Exposure compensation > scroll,Exposure compensation chooser open; no value changed,CONFIRMED,
052_video_exposure_compensation_menu_lower,2026-08-15T00:46:51.6259615Z,evidence/screenshots/052_video_exposure_compensation_menu_lower.png,evidence/ui-xml/052_video_exposure_compensation_menu_lower.xml,evidence/activity/052_video_exposure_compensation_menu_lower_activity-top.txt,,Settings > Video > Exposure compensation > scroll farther,Exposure compensation chooser open; no value changed,CONFIRMED,
053_video_exposure_compensation_menu_bottom,2026-08-15T00:47:14.1858873Z,evidence/screenshots/053_video_exposure_compensation_menu_bottom.png,evidence/ui-xml/053_video_exposure_compensation_menu_bottom.xml,evidence/activity/053_video_exposure_compensation_menu_bottom_activity-top.txt,,Settings > Video > Exposure compensation > bottom,Exposure compensation chooser open; no value changed,CONFIRMED,
054_video_manual_bitrate_enabled,2026-08-15T00:47:48.9130694Z,evidence/screenshots/054_video_manual_bitrate_enabled.png,evidence/ui-xml/054_video_manual_bitrate_enabled.xml,evidence/activity/054_video_manual_bitrate_enabled_activity-top.txt,,Settings > Video > Bitrate matches resolution,Automatic bitrate temporarily toggled off; value restored after capture,CONFIRMED,"Automatic resolution-matched bitrate temporarily disabled, then restored"
055_video_bitrate_editor,2026-08-15T00:48:06.3408785Z,evidence/screenshots/055_video_bitrate_editor.png,evidence/ui-xml/055_video_bitrate_editor.xml,evidence/activity/055_video_bitrate_editor_activity-top.txt,,Settings > Video > Bitrate H264/HEVC,Manual bitrate temporarily enabled; current value 6000 Kbps; no edit submitted,CONFIRMED,
056_video_bitrate_mode_menu,2026-08-15T00:48:30.2149196Z,evidence/screenshots/056_video_bitrate_mode_menu.png,evidence/ui-xml/056_video_bitrate_mode_menu.xml,evidence/activity/056_video_bitrate_mode_menu_activity-top.txt,,Settings > Video > Bitrate mode,Automatic bitrate restored on; Bitrate mode current System default,CONFIRMED,
057_video_keyframe_frequency_menu,2026-08-15T00:48:47.4281292Z,evidence/screenshots/057_video_keyframe_frequency_menu.png,evidence/ui-xml/057_video_keyframe_frequency_menu.xml,evidence/activity/057_video_keyframe_frequency_menu_activity-top.txt,,Settings > Video > Keyframe frequency,Video encoder settings; current 2 sec,CONFIRMED,
058_video_format_menu,2026-08-15T00:49:15.7752626Z,evidence/screenshots/058_video_format_menu.png,evidence/ui-xml/058_video_format_menu.xml,evidence/activity/058_video_format_menu_activity-top.txt,,Settings > Video > Format,Video encoder settings; current Auto,CONFIRMED,
059_video_h264_profile_menu,2026-08-15T00:49:32.2388350Z,evidence/screenshots/059_video_h264_profile_menu.png,evidence/ui-xml/059_video_h264_profile_menu.xml,evidence/activity/059_video_h264_profile_menu_activity-top.txt,,Settings > Video > H.264 profile,Video encoder settings; current System default,CONFIRMED,
060_video_hevc_profile_menu,2026-08-15T00:49:51.3032348Z,evidence/screenshots/060_video_hevc_profile_menu.png,evidence/ui-xml/060_video_hevc_profile_menu.xml,evidence/activity/060_video_hevc_profile_menu_activity-top.txt,,Settings > Video > HEVC profile,Video encoder settings; current System default,CONFIRMED,
061_video_eis_menu,2026-08-15T00:50:19.8777926Z,evidence/screenshots/061_video_eis_menu.png,evidence/ui-xml/061_video_eis_menu.xml,evidence/activity/061_video_eis_menu_activity-top.txt,,Settings > Video > Electronic image stabilization,Vendor video enhancements; current On,CONFIRMED,
062_video_ois_menu,2026-08-15T00:50:37.2929019Z,evidence/screenshots/062_video_ois_menu.png,evidence/ui-xml/062_video_ois_menu.xml,evidence/activity/062_video_ois_menu_activity-top.txt,,Settings > Video > Optical image stabilization,Vendor video enhancements; current On,CONFIRMED,
063_video_noise_reduction_menu,2026-08-15T00:50:54.0248131Z,evidence/screenshots/063_video_noise_reduction_menu.png,evidence/ui-xml/063_video_noise_reduction_menu.xml,evidence/activity/063_video_noise_reduction_menu_activity-top.txt,,Settings > Video > Noise reduction,Vendor video enhancements; current Fast,CONFIRMED,
064_video_adaptive_bitrate_mode_menu,2026-08-15T00:51:22.7598872Z,evidence/screenshots/064_video_adaptive_bitrate_mode_menu.png,evidence/ui-xml/064_video_adaptive_bitrate_mode_menu.xml,evidence/activity/064_video_adaptive_bitrate_mode_menu_activity-top.txt,,Settings > Video > Adaptive bitrate mode,Adaptive bitrate settings; current Recommended,CONFIRMED,
065_audio_settings,2026-08-15T00:52:06.1067790Z,evidence/screenshots/065_audio_settings.png,evidence/ui-xml/065_audio_settings.xml,evidence/activity/065_audio_settings_activity-top.txt,,Settings > Audio,Audio settings default/persisted state,CONFIRMED,
066_audio_source_menu,2026-08-15T00:52:28.8202594Z,evidence/screenshots/066_audio_source_menu.png,evidence/ui-xml/066_audio_source_menu.xml,evidence/activity/066_audio_source_menu_activity-top.txt,,Settings > Audio > Audio source,Audio settings; no option changed,CONFIRMED,
067_audio_channels_menu,2026-08-15T00:52:48.7275300Z,evidence/screenshots/067_audio_channels_menu.png,evidence/ui-xml/067_audio_channels_menu.xml,evidence/activity/067_audio_channels_menu_activity-top.txt,,Settings > Audio > Audio channels,Audio settings; current Stereo,CONFIRMED,
068_audio_bitrate_menu,2026-08-15T00:53:05.2483292Z,evidence/screenshots/068_audio_bitrate_menu.png,evidence/ui-xml/068_audio_bitrate_menu.xml,evidence/activity/068_audio_bitrate_menu_activity-top.txt,,Settings > Audio > Bitrate,Audio settings; current Auto,CONFIRMED,
069_audio_bitrate_menu_lower,2026-08-15T00:53:24.8883538Z,evidence/screenshots/069_audio_bitrate_menu_lower.png,evidence/ui-xml/069_audio_bitrate_menu_lower.xml,evidence/activity/069_audio_bitrate_menu_lower_activity-top.txt,,Settings > Audio > Bitrate > scroll,Audio bitrate chooser open; no value changed,CONFIRMED,
070_audio_bitrate_menu_bottom,2026-08-15T00:53:49.7067177Z,evidence/screenshots/070_audio_bitrate_menu_bottom.png,evidence/ui-xml/070_audio_bitrate_menu_bottom.xml,evidence/activity/070_audio_bitrate_menu_bottom_activity-top.txt,,Settings > Audio > Bitrate > bottom,Audio bitrate chooser open; no value changed,CONFIRMED,
071_audio_settings_lower,2026-08-15T00:54:16.2367793Z,evidence/screenshots/071_audio_settings_lower.png,evidence/ui-xml/071_audio_settings_lower.xml,evidence/activity/071_audio_settings_lower_activity-top.txt,,Settings > Audio > scroll,Audio lower settings; persisted defaults,CONFIRMED,
072_audio_sample_rate_menu,2026-08-15T00:54:39.7045167Z,evidence/screenshots/072_audio_sample_rate_menu.png,evidence/ui-xml/072_audio_sample_rate_menu.xml,evidence/activity/072_audio_sample_rate_menu_activity-top.txt,,Settings > Audio > Sample rate,Audio settings; current 44100 Hz,CONFIRMED,
073_audio_sample_rate_menu_top,2026-08-15T00:54:58.3696335Z,evidence/screenshots/073_audio_sample_rate_menu_top.png,evidence/ui-xml/073_audio_sample_rate_menu_top.xml,evidence/activity/073_audio_sample_rate_menu_top_activity-top.txt,,Settings > Audio > Sample rate > top,Audio sample-rate chooser open; no value changed,CONFIRMED,
074_audio_input_gain_maximum,2026-08-15T00:56:31.4069228Z,evidence/screenshots/074_audio_input_gain_maximum.png,evidence/ui-xml/074_audio_input_gain_maximum.xml,evidence/activity/074_audio_input_gain_maximum_activity-top.txt,,Settings > Audio > Input gain,Input gain temporarily moved from 0.0 dB to maximum +10.0; restored after capture,CONFIRMED,"Input gain temporarily adjusted to +10 dB, then restored to 0 dB"
075_audio_processing,2026-08-15T00:57:02.4223091Z,evidence/screenshots/075_audio_processing.png,evidence/ui-xml/075_audio_processing.xml,evidence/activity/075_audio_processing_activity-top.txt,,Settings > Audio > Processing,Audio processing; input gain restored to 0.0 dB,CONFIRMED,
076_recording_settings,2026-08-15T00:57:42.6707264Z,evidence/screenshots/076_recording_settings.png,evidence/ui-xml/076_recording_settings.xml,evidence/activity/076_recording_settings_activity-top.txt,,Settings > Recording,Recording settings persisted/default state,CONFIRMED,
077_recording_section_duration_editor,2026-08-15T00:58:01.7102810Z,evidence/screenshots/077_recording_section_duration_editor.png,evidence/ui-xml/077_recording_section_duration_editor.xml,evidence/activity/077_recording_section_duration_editor_activity-top.txt,,Settings > Recording > Sections duration,Recording sections enabled; current 30 minutes; no edit submitted,CONFIRMED,
078_recording_settings_lower,2026-08-15T00:58:30.8022881Z,evidence/screenshots/078_recording_settings_lower.png,evidence/ui-xml/078_recording_settings_lower.xml,evidence/activity/078_recording_settings_lower_activity-top.txt,,Settings > Recording > scroll,Recording format/storage settings; persisted defaults,CONFIRMED,
079_recording_snapshot_format_menu,2026-08-15T00:58:50.3494997Z,evidence/screenshots/079_recording_snapshot_format_menu.png,evidence/ui-xml/079_recording_snapshot_format_menu.xml,evidence/activity/079_recording_snapshot_format_menu_activity-top.txt,,Settings > Recording > Snapshot format,Recording settings; current JPEG,CONFIRMED,
080_recording_snapshot_quality_editor,2026-08-15T00:59:07.7808417Z,evidence/screenshots/080_recording_snapshot_quality_editor.png,evidence/ui-xml/080_recording_snapshot_quality_editor.xml,evidence/activity/080_recording_snapshot_quality_editor_activity-top.txt,,Settings > Recording > Snapshot quality,Recording settings; current 90; no edit submitted,CONFIRMED,Quality choices 100/95/90/85; current value 90 retained
081_recording_snapshot_quality_menu_lower,2026-08-15T00:59:28.8247527Z,evidence/screenshots/081_recording_snapshot_quality_menu_lower.png,evidence/ui-xml/081_recording_snapshot_quality_menu_lower.xml,evidence/activity/081_recording_snapshot_quality_menu_lower_activity-top.txt,,Settings > Recording > Snapshot quality > scroll,Snapshot quality chooser open; no value changed,CONFIRMED,Same four quality choices; current value 90 retained
082_recording_save_to_control,2026-08-15T00:59:50.5050647Z,evidence/screenshots/082_recording_save_to_control.png,evidence/ui-xml/082_recording_save_to_control.xml,evidence/activity/082_recording_save_to_control_activity-top.txt,,Settings > Recording > Save to,Recording storage destination control opened; no destination changed,CONFIRMED,Storage Access Framework handoff; no destination changed
083_display_settings,2026-08-15T01:00:28.4687184Z,evidence/screenshots/083_display_settings.png,evidence/ui-xml/083_display_settings.xml,evidence/activity/083_display_settings_activity-top.txt,,Settings > Display,Display settings persisted/default state,CONFIRMED,
084_streamer_home_grid_enabled,2026-08-15T01:00:54.8910444Z,evidence/screenshots/084_streamer_home_grid_enabled.png,evidence/ui-xml/084_streamer_home_grid_enabled.xml,evidence/activity/084_streamer_home_grid_enabled_activity-top.txt,,Settings > Display > Grid 3x3; return to streamer,Grid 3x3 temporarily enabled; restored after capture,CONFIRMED,3×3 grid preview; setting restored off
085_streamer_home_safe_margins_enabled,2026-08-15T01:02:00.9903620Z,evidence/screenshots/085_streamer_home_safe_margins_enabled.png,evidence/ui-xml/085_streamer_home_safe_margins_enabled.xml,evidence/activity/085_streamer_home_safe_margins_enabled_activity-top.txt,,Settings > Display > Show safe margins; return to streamer,Grid restored off; safe margins temporarily enabled; restored after capture,CONFIRMED,Safe-margin preview; setting restored off
086_streamer_home_audio_meter_hidden,2026-08-15T01:02:32.5785325Z,evidence/screenshots/086_streamer_home_audio_meter_hidden.png,evidence/ui-xml/086_streamer_home_audio_meter_hidden.xml,evidence/activity/086_streamer_home_audio_meter_hidden_activity-top.txt,,Settings > Display > Show audio level meter; return to streamer,Safe margins restored off; audio level meter temporarily hidden; restored after capture,CONFIRMED,Audio meter hidden; setting restored on
087_display_safe_margin_controls,2026-08-15T01:03:11.8323435Z,evidence/screenshots/087_display_safe_margin_controls.png,evidence/ui-xml/087_display_safe_margin_controls.xml,evidence/activity/087_display_safe_margin_controls_activity-top.txt,,Settings > Display > Show safe margins,Safe margins temporarily enabled; reveals ratio and indent controls; audio meter temporarily off,CONFIRMED,
088_display_safe_margin_ratio_menu,2026-08-15T01:03:32.3365899Z,evidence/screenshots/088_display_safe_margin_ratio_menu.png,evidence/ui-xml/088_display_safe_margin_ratio_menu.xml,evidence/activity/088_display_safe_margin_ratio_menu_activity-top.txt,,Settings > Display > Safe margins ratios,Safe margins temporarily enabled; current 16:9 (1.78); no value changed,CONFIRMED,
089_display_safe_margin_ratio_menu_lower,2026-08-15T01:03:55.4327040Z,evidence/screenshots/089_display_safe_margin_ratio_menu_lower.png,evidence/ui-xml/089_display_safe_margin_ratio_menu_lower.xml,evidence/activity/089_display_safe_margin_ratio_menu_lower_activity-top.txt,,Settings > Display > Safe margins ratios > scroll,Safe margin ratio multi-select open; no changes submitted,CONFIRMED,
